Month,Day,Title,Director,Cast,Studio (production house),imdb rating,genre,length
NOV,13,Chhalaang,Hansal Mehta,Rajkummar RaoNushrat Bharucha,"T-Series, Luv Films, Ajay Devgn FFilms, Prime Video",6.4,"comedy, drama",2.16
NOV,13,Namumkin Tere Bin Jeena,Hidayat Khan,Anmol ChopraChristeenaBiju Rehana Khan,"Trisha Raj Films Pvt.Ltd, Zaid Corporation Company, Shamshad Pathan Films",5,romance,1.27
NOV,13,Sir,Rohena Gera,Tillotama ShomeVivek Gomber,Platoon Films,7.7,"drama, romance",1.39
NOV,15,Suraj Pe Mangal Bhari,Abhishek Sharma,Manoj BajpayeeDiljit DosanjhFatima Sana Shaikh,Zee Studios,5.8,comedy,2.19
NOV,20,Anwar Ka Ajab Kissa,Buddhadeb Dasgupta,Nawazuddin SiddiquiAnanya ChatterjeePankaj TripathiNiharika Singh,"Eros International, Eros Now",5.9,"adventure, comedy, drama",2.17
DEC,4,Darbaan,Bipin Nadkarni,Sharib HashmiSharad KelkarFlora SainiRasika Dugal,"Opticus Picture Company, ZEE5",7.3,drama,2.25
DEC,11,Durgamati,G. Ashok,Bhumi PednekarArshad WarsiJisshu SenguptaMahie GillKaran Kapadia,"Abundantia Entertainment, T-Series, Cape of Good Films, Amazon Prime Video",3.8,"horror, thriller",2.35
DEC,11,Indoo Ki Jawani,Abir Sengupta,Kiara AdvaniAditya Seal,"T-Series, Emmay Entertainment, Electric Apples",1.4,"comedy, drama",1.58
DEC,11,Nirvana Inn,Vijay Jayapal,Adil HussainRajshri DeshpandeSandhya Mridul,"Stray Factory, Uncombed Buddha, Stop Whinging, Harman Ventures, Cinemapreneur",5.8,mystery,1.35
DEC,11,Torbaaz,Girish Malik,Sanjay DuttNargis FakhriRahul DevGavie ChahalRahul MittraPransh Chopra,"Clapstem Entertainment, Rahul Mittra Films, Netflix",6.2,"sport, drama",2.13
DEC,18,Eeb Allay Ooo!,Prateek Vats,Shardul BharadwajMahender NathNutan SinhaShashi BhushanNaina Sareen,NaMa Productions,7.4,"comedy, drama",1.38
DEC,18,Sayonee,Nitin Kumar GuptaAbhay Singhal,Tanmay SsinghMusskan SethiRahul RoyYograj SinghUpasana Singh,"Lucky Nadiadwala Morani Productions, D&T Productions Pvt. Ltd.",2.6,"action, romance, musical",1.51
DEC,18,Omprakash Zindabad,Ranjeet Gupta,Kulbhushan KharbandaJagdeepShweta BhardwajSeema AzmiAbhay JoshiIshtiyak KhanZakir HussainOm Puri,Panorama Studios,5.3,"comedy, drama",2.1
DEC,18,Unpaused,Raj & D.KNitya MehraNikkhil AdvaniTannishtha ChatterjeeAvinash Arun,Gulshan DevaiahSumeet VyasSaiyami KherRicha ChaddaAbhishek BanerjeeRatna Pathak ShahIshwak Singh,Amazon Prime Video,7.1,"drama, rom,ance",1.53
DEC,24,AK vs AK,Vikramaditya Motwane,Anil KapoorAnurag Kashyap,Netflix,7,"comedy, crime, drama",1.48
DEC,25,Coolie No. 1,David Dhawan,Varun DhawanSara Ali Khan,"Pooja Entertainment, Amazon Prime Video",3.4,comedy,2.14
DEC,25,Shakeela,Indrajit Lankesh,Richa ChaddaPankaj TripathiRajeev Pillai,Sammy's Magic Cinema,3.2,"biography, drama",2.06
